carbos	Carburante / Carburante
data-card-04	Tarjeta Datos 04 / Tarjeta Datos 04
data-card-05	Tarjeta Datos 05 / Tarjeta Datos 05
data-card-06	Tarjeta Datos 06 / Tarjeta Datos 06
data-card-07	Tarjeta Datos 07 / Tarjeta Datos 07
data-card-08	Tarjeta Datos 08 / Tarjeta Datos 08
data-card-09	Tarjeta Datos 09 / Tarjeta Datos 09
data-card-10	Tarjeta Datos 10 / Tarjeta Datos 10
data-card-11	Tarjeta Datos 11 / Tarjeta Datos 11
data-card-12	Tarjeta Datos 12 / Tarjeta Datos 12
data-card-13	Tarjeta Datos 13 / Tarjeta Datos 13
data-card-14	Tarjeta Datos 14 / Tarjeta Datos 14
data-card-15	Tarjeta Datos 15 / Tarjeta Datos 15
data-card-16	Tarjeta Datos 16 / Tarjeta Datos 16
data-card-17	Tarjeta Datos 17 / Tarjeta Datos 17
data-card-18	Tarjeta Datos 18 / Tarjeta Datos 18
data-card-19	Tarjeta Datos 19 / Tarjeta Datos 19
data-card-20	Tarjeta Datos 20 / Tarjeta Datos 20
data-card-21	Tarjeta Datos 21 / Tarjeta Datos 21
data-card-22	Tarjeta Datos 22 / Tarjeta Datos 22
data-card-23	Tarjeta Datos 23 / Tarjeta Datos 23
data-card-24	Tarjeta Datos 24 / Tarjeta Datos 24
data-card-25	Tarjeta Datos 25 / Tarjeta Datos 25
data-card-26	Tarjeta Datos 26 / Tarjeta Datos 26
data-card-27	Tarjeta Datos 27 / Tarjeta Datos 27
photo-album	Álbum / Álbum
orange-mail	Car. Naranja / Car. Naranja
harbor-mail	Carta Puerto / Carta Puerto
glitter-mail	Carta Brillo / Carta Brillo
mech-mail	Carta Imán / Carta Imán
wood-mail	Carta Madera / Carta Madera
wave-mail	Carta Ola / Carta Ola
bead-mail	Carta Imagen / Carta Imagen
shadow-mail	Carta Sombra / Carta Sombra
tropic-mail	Car. Tropic. / Car. Tropic.
dream-mail	Carta Sueño / Carta Sueño
fab-mail	Carta Fab. / Carta Fab.
retro-mail	Carta Retro. / Carta Retro.
wailmer-pail	Wailmegadera / Wailmegadera
devon-goods	Piezas Devon / Piezas Devon
soot-sack	Saco Hollín / Saco Hollín
letter	Carta a Máximo / Carta a Máximo
scanner	Escáner / Escáner
rm-1-key	Ll. Cabina 1 / Ll. Cabina 1
rm-2-key	Ll. Cabina 2 / Ll. Cabina 2
rm-4-key	Ll. Cabina 4 / Ll. Cabina 4
rm-6-key	Ll. Cabina 6 / Ll. Cabina 6
devon-scope	Detector Devon / Detector Devon
oaks-parcel	Correo-Oak / Correo-Oak
poke-flute	Poké Flauta / Poké Flauta
lift-key	Llave Ascensor / Llave Ascensor
tm-case	Estuche de MT / Estuche de MT
berry-pouch	Saco Bayas / Saco Bayas
teachy-tv	Poké Tele / Poké Tele
tri-pass	Tri-Ticket / Tri-Ticket
rainbow-pass	Iris-Ticket / Iris-Ticket
tea	Té / Té
mysticticket	Misti-Ticket / Misti-Ticket
auroraticket	Ori-Ticket / Ori-Ticket
powder-jar	Bote Polvos / Bote Polvos
sapphire	Zafiro / Zafiro
magma-emblem	Signo Magma / Signo Magma
greet-mail	Carta Inicial / Carta Inicial
favored-mail	Carta Favoritos / Carta Favoritos
rsvp-mail	Carta Invitar / Carta Invitar
thanks-mail	Carta Gracias / Carta Gracias
inquiry-mail	Carta Pregunta / Carta Pregunta
like-mail	Carta Gustos / Carta Gustos
reply-mail	Carta Respuesta / Carta Respuesta
bridge-mail-s	Carta Puente S / Carta Puente S
bridge-mail-d	Carta Puente F / Carta Puente F
bridge-mail-t	Carta Puente A / Carta Puente A
bridge-mail-v	Carta Puente V / Carta Puente V
bridge-mail-m	Carta Puente P / Carta Puente P
eviolite	Mineral Evol / Mineral Evol
electric-gem	Gema Eléctrica / Gema Eléctrica
flying-gem	Gema Voladora / Gema Voladora
psychic-gem	Gema Psíquica / Gema Psíquica
dark-gem	Gema Siniestra / Gema Siniestra
pass-orb	Regalosfera / Regalosfera
dragon-skull	Cráneo Dragón / Cráneo Dragón
big-nugget	Maxipepita / Maxipepita
pearl-string	Sarta Perlas / Sarta Perlas
relic-copper	Real Cobre / Real Cobre
relic-silver	Real Plata / Real Plata
relic-gold	Real Oro / Real Oro
relic-vase	Ánfora / Ánfora
relic-band	Brazal / Brazal
relic-statue	Efigie Antigua / Efigie Antigua
relic-crown	Corona Antigua / Corona Antigua
dire-hit-2	Crítico X 2 / Crítico X 2
x-speed-2	Velocidad X 2 / Velocidad X 2
x-sp-atk-2	At. Esp. X 2 / At. Esp. X 2
x-sp-def-2	Def. Esp. X 2 / Def. Esp. X 2
x-defense-2	Defensa X 2 / Defensa X 2
x-attack-2	Ataque X 2 / Ataque X 2
x-accuracy-2	Precisión X 2 / Precisión X 2
x-speed-3	Velocidad X 3 / Velocidad X 3
x-sp-atk-3	At. Esp. X 3 / At. Esp. X 3
x-sp-def-3	Def. Esp. X 3 / Def. Esp. X 3
x-defense-3	Defensa X 3 / Defensa X 3
x-attack-3	Ataque X 3 / Ataque X 3
x-accuracy-3	Precisión X 3 / Precisión X 3
x-speed-6	Velocidad X 6 / Velocidad X 6
x-sp-atk-6	At. Esp. X 6 / At. Esp. X 6
x-sp-def-6	Def. Esp. X 6 / Def. Esp. X 6
x-defense-6	Defensa X 6 / Defensa X 6
x-attack-6	Ataque X 6 / Ataque X 6
x-accuracy-6	Precisión X 6 / Precisión X 6
ability-urge	Habilitador / Habilitador
item-drop	Tiraobjeto / Tiraobjeto
item-urge	Activaobjeto / Activaobjeto
reset-urge	Quitaestado / Quitaestado
dire-hit-3	Crítico X 3 / Crítico X 3
tm93	MT93 / MT93
tm94	MT94 / MT94
tm95	MT95 / MT95
god-stone	
gram-1	Envío 1 / Envío 1
gram-2	Envío 2 / Envío 2
gram-3	Envío 3 / Envío 3
medal-box	Caja Insignias / Caja Insignias
weakness-policy	Seguro Debilidad / Seguro Debilidad
ability-capsule	Cáps. Habilidad / Cáps. Habilidad
rich-mulch	Abono Fértil / Abono Fértil
surprise-mulch	Abono Sorpresa / Abono Sorpresa
boost-mulch	Abono Fructífero / Abono Fructífero
amaze-mulch	Abono Insólito / Abono Insólito
discount-coupon	Vale Descuento / Vale Descuento
lumiose-galette	Crêpe Luminalia / Crêpe Luminalia
elevator-key	Llave Ascensor / Llave Ascensor
holo-caster	Holomisor / Holomisor
honor-of-kalos	Emblema Kalos / Emblema Kalos
looker-ticket	Boleto Handsome / Boleto Handsome
mega-ring	Mega-Aro / Mega-Aro
power-plant-pass	Pase Central / Pase Central
profs-letter	Carta Profesor / Carta Profesor
roller-skates	Patines / Patines
sprinklotad	Lotadgadera / Lotadgadera
tmv-pass	Abono del TMV / Abono del TMV
tm96	MT96 / MT96
tm97	MT97 / MT97
tm98	MT98 / MT98
tm99	MT99 / MT99
tm100	MT100 / MT100
makeup-bag	Kit Maquillaje / Kit Maquillaje
travel-trunk	Maleta / Maleta
mega-charm	Megacolgante / Megacolgante
mega-glove	Megaguante / Megaguante
devon-parts	Piezas Devon / Piezas Devon
key-to-room-1	Ll. Habitación 1 / Ll. Habitación 1
key-to-room-2	Ll. Habitación 2 / Ll. Habitación 2
key-to-room-4	Ll. Habitación 4 / Ll. Habitación 4
key-to-room-6	Ll. Habitación 6 / Ll. Habitación 6
devon-scuba-gear	Bombona Devon / Bombona Devon
magma-suit	Traje Magma / Traje Magma
aqua-suit	Traje Aqua / Traje Aqua
mega-bracelet	Megapulsera / Megapulsera
mega-pendant	Megacollar / Megacollar
mega-glasses	Megagafas / Megagafas
mega-anchor	Megaancla / Megaancla
mega-stickpin	Megabroche / Megabroche
mega-tiara	Megatiara / Megatiara
mega-anklet	Megatobillera / Megatobillera
prison-bottle	Vasija Castigo / Vasija Castigo
mega-cuff	Megabrazalete / Megabrazalete
meteorite-shard	Frag. Meteorito / Frag. Meteorito
professors-mask	Máscara Profesor / Máscara Profesor
festival-ticket	Festicupón / Festicupón
enigmatic-card	Nota Intrigante / Nota Intrigante
storage-key--galactic-warehouse	Llave Almacén / Llave Almacén
basement-key--goldenrod	Llave Sótano / Llave Sótano
holo-caster--green	Holomisor / Holomisor
holo-caster--red	Holomisor / Holomisor
storage-key--sea-mauville	Llave Almacén / Llave Almacén
ss-ticket--hoenn	Ticket Barco / Ticket Barco
surge-badge	Medalla Fulgor / Medalla Fulgor
roto-hatch	Cupón Eclosión / Cupón Eclosión
roto-bargain	Cupón Rebaja / Cupón Rebaja
roto-prize-money	Cupón Botín / Cupón Botín
roto-exp-points	Cupón Exp / Cupón Exp
roto-friendship	Cupón Amistad / Cupón Amistad
roto-encounter	Cupón Reclamo / Cupón Reclamo
roto-stealth	Cupón Sigilo / Cupón Sigilo
roto-hp-restore	Cupón PS / Cupón PS
roto-pp-restore	Cupón PP / Cupón PP
roto-boost	Cupón Refuerzo / Cupón Refuerzo
roto-catch	Cupón Captura / Cupón Captura
autograph	Autógrafo / Autógrafo
pokemon-box	Caja de Pokémon / Caja de Pokémon
medicine-pocket	Botiquín / Botiquín
candy-jar	Tarro de Caramelos / Tarro de Caramelos
power-up-pocket	Bolsillo Mejoras / Bolsillo Mejoras
clothing-trunk	Maleta / Maleta
catching-pocket	Bolsillo Captura / Bolsillo Captura
battle-pocket	Bolsillo Combate / Bolsillo Combate
silver-nanab-berry	Baya Latano Plateada / Baya Latano Plateada
golden-nanab-berry	Baya Latano Dorada / Baya Latano Dorada
silver-pinap-berry	Baya Pinia Plateada / Baya Pinia Plateada
golden-pinap-berry	Baya Pinia Dorada / Baya Pinia Dorada
chalky-stone	Tiza / Tiza
marble	Canica / Canica
lone-earring	Pendiente / Pendiente
lure	Colonia / Colonia
super-lure	Supercolonia / Supercolonia
pewter-crunchies	Rokikos / Rokikos
health-candy	Caramelo Vigor / Caramelo Vigor
mighty-candy	Caramelo Músculo / Caramelo Músculo
tough-candy	Caramelo Aguante / Caramelo Aguante
smart-candy	Caramelo Intelecto / Caramelo Intelecto
courage-candy	Caramelo Mente / Caramelo Mente
quick-candy	Caramelo Ímpetu / Caramelo Ímpetu
health-candy-l	Caramelo Vigor + / Caramelo Vigor +
mighty-candy-l	Caramelo Músculo + / Caramelo Músculo +
tough-candy-l	Caramelo Aguante + / Caramelo Aguante +
smart-candy-l	Caramelo Intelecto + / Caramelo Intelecto +
courage-candy-l	Caramelo Mente + / Caramelo Mente +
quick-candy-l	Caramelo Ímpetu + / Caramelo Ímpetu +
health-candy-xl	Caramelo Vigor ++ / Caramelo Vigor ++
mighty-candy-xl	Caramelo Músculo ++ / Caramelo Músculo ++
tough-candy-xl	Caramelo Aguante ++ / Caramelo Aguante ++
smart-candy-xl	Caramelo Intelecto ++ / Caramelo Intelecto ++
courage-candy-xl	Caramelo Mente ++ / Caramelo Mente ++
quick-candy-xl	Caramelo Ímpetu ++ / Caramelo Ímpetu ++
bulbasaur-candy	Caramelo Bulbasaur / Caramelo Bulbasaur
charmander-candy	Caramelo Charmander / Caramelo Charmander
squirtle-candy	Caramelo Squirtle / Caramelo Squirtle
caterpie-candy	Caramelo Caterpie / Caramelo Caterpie
weedle-candy	Caramelo Weedle / Caramelo Weedle
pidgey-candy	Caramelo Pidgey / Caramelo Pidgey
rattata-candy	Caramelo Rattata / Caramelo Rattata
spearow-candy	Caramelo Spearow / Caramelo Spearow
ekans-candy	Caramelo Ekans / Caramelo Ekans
pikachu-candy	Caramelo Pikachu / Caramelo Pikachu
sandshrew-candy	Caramelo Sandshrew / Caramelo Sandshrew
nidoran-f-candy	Caramelo Nidoran♀ / Caramelo Nidoran♀
nidoran-m-candy	Caramelo Nidoran♂ / Caramelo Nidoran♂
clefairy-candy	Caramelo Clefairy / Caramelo Clefairy
vulpix-candy	Caramelo Vulpix / Caramelo Vulpix
jigglypuff-candy	Caramelo Jigglypuff / Caramelo Jigglypuff
zubat-candy	Caramelo Zubat / Caramelo Zubat
oddish-candy	Caramelo Oddish / Caramelo Oddish
paras-candy	Caramelo Paras / Caramelo Paras
venonat-candy	Caramelo Venonat / Caramelo Venonat
diglett-candy	Caramelo Diglett / Caramelo Diglett
meowth-candy	Caramelo Meowth / Caramelo Meowth
psyduck-candy	Caramelo Psyduck / Caramelo Psyduck
mankey-candy	Caramelo Mankey / Caramelo Mankey
growlithe-candy	Caramelo Growlithe / Caramelo Growlithe
poliwag-candy	Caramelo Poliwag / Caramelo Poliwag
abra-candy	Caramelo Abra / Caramelo Abra
machop-candy	Caramelo Machop / Caramelo Machop
bellsprout-candy	Caramelo Bellsprout / Caramelo Bellsprout
tentacool-candy	Caramelo Tentacool / Caramelo Tentacool
geodude-candy	Caramelo Geodude / Caramelo Geodude
ponyta-candy	Caramelo Ponyta / Caramelo Ponyta
slowpoke-candy	Caramelo Slowpoke / Caramelo Slowpoke
magnemite-candy	Caramelo Magnemite / Caramelo Magnemite
farfetchd-candy	Caramelo Farfetch’d / Caramelo Farfetch’d
doduo-candy	Caramelo Doduo / Caramelo Doduo
seel-candy	Caramelo Seel / Caramelo Seel
grimer-candy	Caramelo Grimer / Caramelo Grimer
shellder-candy	Caramelo Shellder / Caramelo Shellder
gastly-candy	Caramelo Gastly / Caramelo Gastly
onix-candy	Caramelo Onix / Caramelo Onix
drowzee-candy	Caramelo Drowzee / Caramelo Drowzee
krabby-candy	Caramelo Krabby / Caramelo Krabby
voltorb-candy	Caramelo Voltorb / Caramelo Voltorb
exeggcute-candy	Caramelo Exeggcute / Caramelo Exeggcute
cubone-candy	Caramelo Cubone / Caramelo Cubone
hitmonlee-candy	Caramelo Hitmonlee / Caramelo Hitmonlee
hitmonchan-candy	Caramelo Hitmonchan / Caramelo Hitmonchan
lickitung-candy	Caramelo Lickitung / Caramelo Lickitung
koffing-candy	Caramelo Koffing / Caramelo Koffing
rhyhorn-candy	Caramelo Rhyhorn / Caramelo Rhyhorn
chansey-candy	Caramelo Chansey / Caramelo Chansey
tangela-candy	Caramelo Tangela / Caramelo Tangela
kangaskhan-candy	Caramelo Kangaskhan / Caramelo Kangaskhan
horsea-candy	Caramelo Horsea / Caramelo Horsea
goldeen-candy	Caramelo Goldeen / Caramelo Goldeen
staryu-candy	Caramelo Staryu / Caramelo Staryu
mr-mime-candy	Caramelo Mr. Mime / Caramelo Mr. Mime
scyther-candy	Caramelo Scyther / Caramelo Scyther
jynx-candy	Caramelo Jynx / Caramelo Jynx
electabuzz-candy	Caramelo Electabuzz / Caramelo Electabuzz
pinsir-candy	Caramelo Pinsir / Caramelo Pinsir
tauros-candy	Caramelo Tauros / Caramelo Tauros
magikarp-candy	Caramelo Magikarp / Caramelo Magikarp
lapras-candy	Caramelo Lapras / Caramelo Lapras
ditto-candy	Caramelo Ditto / Caramelo Ditto
eevee-candy	Caramelo Eevee / Caramelo Eevee
porygon-candy	Caramelo Porygon / Caramelo Porygon
omanyte-candy	Caramelo Omanyte / Caramelo Omanyte
kabuto-candy	Caramelo Kabuto / Caramelo Kabuto
aerodactyl-candy	Caramelo Aerodactyl / Caramelo Aerodactyl
snorlax-candy	Caramelo Snorlax / Caramelo Snorlax
articuno-candy	Caramelo Articuno / Caramelo Articuno
zapdos-candy	Caramelo Zapdos / Caramelo Zapdos
moltres-candy	Caramelo Moltres / Caramelo Moltres
dratini-candy	Caramelo Dratini / Caramelo Dratini
mewtwo-candy	Caramelo Mewtwo / Caramelo Mewtwo
mew-candy	Caramelo Mew / Caramelo Mew
meltan-candy	Caramelo Meltan / Caramelo Meltan
magmar-candy	Caramelo Magmar / Caramelo Magmar
endorsement	Recomendación / Recomendación
pokemon-box-link	Caja de Pokémon / Caja de Pokémon
brittle-bones	Huesos Finos / Huesos Finos
camping-gear	Kit de Acampada / Kit de Acampada
fossilized-bird	Ornitofósil / Ornitofósil
fossilized-fish	Ictiofósil / Ictiofósil
fossilized-drake	Dracofósil / Dracofósil
fossilized-dino	Plesiofósil / Plesiofósil
blunder-policy	Seguro Fallo / Seguro Fallo
exp-candy-xs	Caramelo Exp. XS / Caramelo Exp. XS
exp-candy-s	Caramelo Exp. S / Caramelo Exp. S
exp-candy-m	Caramelo Exp. M / Caramelo Exp. M
exp-candy-l	Caramelo Exp. L / Caramelo Exp. L
exp-candy-xl	Caramelo Exp. XL / Caramelo Exp. XL
dynamax-candy	Caramelo Dinamax / Caramelo Dinamax
tr00	DT00 / DT00
tr01	DT01 / DT01
tr02	DT02 / DT02
tr03	DT03 / DT03
tr04	DT04 / DT04
tr05	DT05 / DT05
tr06	DT06 / DT06
tr07	DT07 / DT07
tr08	DT08 / DT08
tr09	DT09 / DT09
tr10	DT10 / DT10
tr11	DT11 / DT11
tr12	DT12 / DT12
tr13	DT13 / DT13
tr14	DT14 / DT14
tr15	DT15 / DT15
tr16	DT16 / DT16
tr17	DT17 / DT17
tr18	DT18 / DT18
tr19	DT19 / DT19
tr20	DT20 / DT20
tr21	DT21 / DT21
tr22	DT22 / DT22
tr23	DT23 / DT23
tr24	DT24 / DT24
tr25	DT25 / DT25
tr26	DT26 / DT26
tr27	DT27 / DT27
tr28	DT28 / DT28
tr29	DT29 / DT29
tr30	DT30 / DT30
tr31	DT31 / DT31
tr32	DT32 / DT32
tr33	DT33 / DT33
tr34	DT34 / DT34
tr35	DT35 / DT35
tr36	DT36 / DT36
tr37	DT37 / DT37
tr38	DT38 / DT38
tr39	DT39 / DT39
tr40	DT40 / DT40
tr41	DT41 / DT41
tr42	DT42 / DT42
tr43	DT43 / DT43
tr44	DT44 / DT44
tr45	DT45 / DT45
tr46	DT46 / DT46
tr47	DT47 / DT47
tr48	DT48 / DT48
tr49	DT49 / DT49
tr50	DT50 / DT50
tr51	DT51 / DT51
tr52	DT52 / DT52
tr53	DT53 / DT53
tr54	DT54 / DT54
tr55	DT55 / DT55
tr56	DT56 / DT56
tr57	DT57 / DT57
tr58	DT58 / DT58
tr59	DT59 / DT59
tr60	DT60 / DT60
tr61	DT61 / DT61
tr62	DT62 / DT62
tr63	DT63 / DT63
tr64	DT64 / DT64
tr65	DT65 / DT65
tr66	DT66 / DT66
tr67	DT67 / DT67
tr68	DT68 / DT68
tr69	DT69 / DT69
tr70	DT70 / DT70
tr71	DT71 / DT71
tr72	DT72 / DT72
tr73	DT73 / DT73
tr74	DT74 / DT74
tr75	DT75 / DT75
tr76	DT76 / DT76
tr77	DT77 / DT77
tr78	DT78 / DT78
tr79	DT79 / DT79
tr80	DT80 / DT80
tr81	DT81 / DT81
tr82	DT82 / DT82
tr83	DT83 / DT83
tr84	DT84 / DT84
tr85	DT85 / DT85
tr86	DT86 / DT86
tr87	DT87 / DT87
tr88	DT88 / DT88
tr89	DT89 / DT89
tr90	DT90 / DT90
tr91	DT91 / DT91
tr92	DT92 / DT92
tr93	DT93 / DT93
tr94	DT94 / DT94
tr95	DT95 / DT95
tr96	DT96 / DT96
tr97	DT97 / DT97
tr98	DT98 / DT98
tr99	DT99 / DT99
tm00	MT00 / MT00
lonely-mint	Menta Huraña / Menta Huraña
adamant-mint	Menta Firme / Menta Firme
naughty-mint	Menta Pícara / Menta Pícara
brave-mint	Menta Audaz / Menta Audaz
bold-mint	Menta Osada / Menta Osada
impish-mint	Menta Agitada / Menta Agitada
lax-mint	Menta Floja / Menta Floja
relaxed-mint	Menta Plácida / Menta Plácida
modest-mint	Menta Modesta / Menta Modesta
mild-mint	Menta Afable / Menta Afable
rash-mint	Menta Alocada / Menta Alocada
quiet-mint	Menta Mansa / Menta Mansa
calm-mint	Menta Serena / Menta Serena
gentle-mint	Menta Amable / Menta Amable
careful-mint	Menta Cauta / Menta Cauta
sassy-mint	Menta Grosera / Menta Grosera
timid-mint	Menta Miedosa / Menta Miedosa
hasty-mint	Menta Activa / Menta Activa
jolly-mint	Menta Alegre / Menta Alegre
naive-mint	Menta Ingenua / Menta Ingenua
serious-mint	Menta Seria / Menta Seria
hi-tech-earbuds	Supertapones / Supertapones
band-autograph	Autógrafo Grupo / Autógrafo Grupo
sonias-book	Libro de Sonia / Libro de Sonia
dynamax-crystal-and458	★And458 / ★And458
dynamax-crystal-and15	★And15 / ★And15
dynamax-crystal-and337	★And337 / ★And337
dynamax-crystal-and603	★And603 / ★And603
dynamax-crystal-and390	★And390 / ★And390
dynamax-crystal-sgr6879	★Sgr6879 / ★Sgr6879
dynamax-crystal-sgr6859	★Sgr6859 / ★Sgr6859
dynamax-crystal-sgr6913	★Sgr6913 / ★Sgr6913
dynamax-crystal-sgr7348	★Sgr7348 / ★Sgr7348
dynamax-crystal-sgr7121	★Sgr7121 / ★Sgr7121
dynamax-crystal-sgr6746	★Sgr6746 / ★Sgr6746
dynamax-crystal-sgr7194	★Sgr7194 / ★Sgr7194
dynamax-crystal-sgr7337	★Sgr7337 / ★Sgr7337
dynamax-crystal-sgr7343	★Sgr7343 / ★Sgr7343
dynamax-crystal-sgr6812	★Sgr6812 / ★Sgr6812
dynamax-crystal-sgr7116	★Sgr7116 / ★Sgr7116
dynamax-crystal-sgr7264	★Sgr7264 / ★Sgr7264
dynamax-crystal-sgr7597	★Sgr7597 / ★Sgr7597
dynamax-crystal-del7882	★Del7882 / ★Del7882
dynamax-crystal-del7906	★Del7906 / ★Del7906
dynamax-crystal-del7852	★Del7852 / ★Del7852
dynamax-crystal-psc596	★Psc596 / ★Psc596
dynamax-crystal-psc361	★Psc361 / ★Psc361
dynamax-crystal-psc510	★Psc510 / ★Psc510
dynamax-crystal-psc437	★Psc437 / ★Psc437
dynamax-crystal-psc8773	★Psc8773 / ★Psc8773
dynamax-crystal-lep1865	★Lep1865 / ★Lep1865
dynamax-crystal-lep1829	★Lep1829 / ★Lep1829
dynamax-crystal-boo5340	★Boo5340 / ★Boo5340
dynamax-crystal-boo5506	★Boo5506 / ★Boo5506
dynamax-crystal-boo5435	★Boo5435 / ★Boo5435
dynamax-crystal-boo5602	★Boo5602 / ★Boo5602
dynamax-crystal-boo5733	★Boo5733 / ★Boo5733
dynamax-crystal-boo5235	★Boo5235 / ★Boo5235
dynamax-crystal-boo5351	★Boo5351 / ★Boo5351
dynamax-crystal-hya3748	★Hya3748 / ★Hya3748
dynamax-crystal-hya3903	★Hya3903 / ★Hya3903
dynamax-crystal-hya3418	★Hya3418 / ★Hya3418
dynamax-crystal-hya3482	★Hya3482 / ★Hya3482
dynamax-crystal-hya3845	★Hya3845 / ★Hya3845
dynamax-crystal-eri1084	★Eri1084 / ★Eri1084
dynamax-crystal-eri472	★Eri472 / ★Eri472
dynamax-crystal-eri1666	★Eri1666 / ★Eri1666
dynamax-crystal-eri897	★Eri897 / ★Eri897
dynamax-crystal-eri1231	★Eri1231 / ★Eri1231
